id_customer,newsletter_optin,country,order_autonomy,number_order,number_ref_ordered,quantity_product_ordered
17,0,France,1,43,30,1305
22,0,France,0,5,7,48
30,0,France,1,6,14,65
31,0,France,1,2,2,17
34,0,France,1,1,1,2
37,1,Allemagne,1,2,5,14
38,0,France,1,1,1,18
39,0,France,0,3,6,32
44,0,France,1,4,15,959
52,0,Suisse,0,1,2,4
53,0,France,1,3,6,48
58,0,France,0,2,3,10
59,0,France,1,6,5,18
64,0,France,1,6,28,131
69,0,France,1,8,13,204
74,0,France,1,29,30,1944
76,0,France,1,17,29,8176
78,0,France,1,5,5,186
81,0,France,1,3,8,90
86,1,République Tchèque,0,9,6,180
88,1,France,1,2,2,48
88,1,Suisse,1,2,2,16
94,0,Autriche,1,1,1,27
102,1,Slovénie,1,3,9,66
106,0,Pologne,1,7,11,67
107,0,France,1,3,10,310
111,0,France,1,80,51,24068
113,0,France,1,8,25,498
114,0,France,0,7,5,24
116,0,France,1,19,8,736
117,0,France,1,2,5,35
120,0,France,1,14,14,286
121,0,France,1,3,10,67
122,0,France,1,8,25,226
123,1,France,1,1,1,6
124,0,France,1,6,6,125
126,0,France,1,11,10,580
127,0,France,1,12,13,582
129,0,France,1,4,2,38
132,0,France,0,1,1,4
134,0,Bulgarie,1,8,19,240
136,0,République Tchèque,1,22,10,3855
137,0,France,1,12,24,5252
139,0,Autriche,1,2,5,56
140,0,Belgique,0,2,2,6
153,0,Belgique,1,6,18,748
154,0,France,0,1,1,2
164,0,France,1,1,1,4
165,0,France,1,2,4,40
166,0,France,1,4,4,56
171,0,France,1,2,2,12
177,0,France,0,2,3,6
178,0,France,1,5,6,36
198,0,France,1,2,2,12
199,0,France,1,7,5,203
201,0,Suisse,1,6,9,26
204,0,France,1,1,2,4
206,0,France,1,3,1,16
207,0,France,1,1,4,16
209,0,France,1,2,1,10
214,0,France,1,2,5,54
215,0,France,1,3,4,20
217,0,France,0,1,4,8
219,0,France,1,1,4,20
220,0,Belgique,1,1,4,20
222,0,Belgique,1,2,1,10
225,0,France,1,1,2,12
229,0,Roumanie,1,26,16,4774
232,0,France,1,3,4,11
233,0,Espagne,1,4,16,30
236,0,France,1,3,2,9
242,0,France,1,2,5,11
242,0,Tunisie,1,2,5,11
249,1,France,1,1,1,4
251,0,France,1,1,4,20
254,0,Royaume-Uni,1,1,5,10
257,0,France,1,5,11,59
258,0,France,1,6,6,162
259,0,France,1,1,2,4
261,0,France,1,6,5,16
264,0,France,1,5,6,35
265,0,Suisse,1,2,8,147
265,0,France,1,2,8,49
267,0,Belgique,0,3,1,6
270,0,France,1,6,5,27
274,0,Allemagne,1,1,1,6
275,1,Slovénie,1,4,11,132
277,0,France,1,1,1,2
278,0,France,1,3,3,50
282,1,France,1,21,7,5474
289,0,France,0,1,3,6
291,0,Allemagne,1,4,9,78
292,0,Allemagne,1,1,1,6
301,1,Belgique,1,4,10,62
301,1,Luxembourg,1,4,10,62
305,0,République Tchèque,1,2,1,24
308,0,France,1,4,13,113
310,0,Autriche,1,3,2,20
313,0,Belgique,1,8,30,513
319,0,Allemagne,1,10,24,176
322,0,Lituanie,1,13,17,534
323,0,France,1,6,7,156
324,0,France,1,44,43,3814
326,0,République Tchèque,1,22,16,795
326,0,France,1,22,16,318
331,0,France,0,2,4,20
336,0,France,1,2,10,198
336,0,Polynésie Française,1,2,10,198
338,0,Lituanie,1,13,11,720
348,0,France,1,1,7,42
350,1,Danemark,1,42,27,369
351,0,Italie,1,2,1,30
354,1,Portugal,0,1,3,6
363,1,Lituanie,1,86,26,423
365,1,France,1,1,1,2
367,0,Autriche,1,10,10,91
368,0,France,1,1,2,24
371,0,France,1,3,1,14
372,0,France,1,2,7,57
375,1,Suisse,1,2,1,4
376,0,France,0,1,8,16
379,0,Belgique,0,1,3,6
380,0,France,1,6,13,63
